unit_id,within_group_similarity,between_group_similarity,similarity_gap,association_auc,anisotropy,effective_rank,model
d1f7,0.9918796817461649,0.9918375555425882,4.212620357668673e-05,0.48741319444444453,0.991845965385437,1.2889666557312012,gpt2
76c8,0.9929107949137688,0.9921877024074396,0.0007230925063291815,0.5295138888888888,0.9923323392868042,1.480907917022705,gpt2
eccd,0.9924576257665952,0.9902237274994453,0.0022338982671499252,0.5907118055555556,0.9906705021858215,1.120623230934143,gpt2
1cdb,0.9890130857626597,0.9884793559710184,0.0005337297916412354,0.5251736111111112,0.9885861277580261,1.4338033199310303,gpt2
0d92,0.9944985434412956,0.9950500739117464,-0.0005515304704507562,0.4097222222222222,0.9949397444725037,1.9810229539871216,gpt2
ca9a,0.9934077635407448,0.9936064078162113,-0.00019864427546656405,0.4782986111111111,0.993566632270813,1.2501327991485596,gpt2
1f55,0.9948523491621017,0.9909975485255321,0.003854800636569622,0.6306423611111112,0.9917685389518738,1.117687702178955,gpt2
7d2a,0.9880197569727898,0.9875349551439285,0.00048480182886123657,0.5334201388888888,0.9876318573951721,1.0978153944015503,gpt2
1fa3,0.9914688393473625,0.9896696731448174,0.001799166202545166,0.5755208333333334,0.990029513835907,1.1983884572982788,gpt2
09df,0.990520790219307,0.9897423672179381,0.0007784230013688775,0.5772569444444444,0.9898980259895325,1.286889672279358,gpt2
b07e,0.9900178561607996,0.9869341539839903,0.003083702176809311,0.6189236111111112,0.9875508546829224,1.3168034553527832,gpt2
e25a,0.9931236604849497,0.9925855131198963,0.0005381473650534208,0.4908854166666667,0.9926931262016296,1.4127814769744873,gpt2
8aef,0.9925344785054525,0.9894471286485592,0.0030873498568932956,0.56640625,0.9900646209716797,1.2098896503448486,gpt2
5219,0.993817056218783,0.9917944148182869,0.002022641400496128,0.5360243055555556,0.9921989440917969,1.1377902030944824,gpt2
eb54,0.9952637329697609,0.9954991123328606,-0.00023537936309969698,0.4574652777777778,0.9954520463943481,1.972440242767334,gpt2
3c16,0.994060238202413,0.993445481484135,0.0006147567182779312,0.5520833333333333,0.9935684204101562,1.8013354539871216,gpt2
146e,0.9915523206194242,0.990561394020915,0.0009909265985091897,0.51953125,0.990759551525116,1.263870358467102,gpt2
a3dd,0.990437832971414,0.9894797640542189,0.0009580689171950763,0.5438368055555556,0.9896714091300964,1.1497712135314941,gpt2
a1f3,0.9941055079301199,0.9943068151672682,-0.0002013072371482849,0.5221354166666666,0.9942665100097656,1.2661267518997192,gpt2
f4bf,0.9929932455221812,0.9925816139827172,0.0004116315394639969,0.5464409722222222,0.9926639795303345,1.4662208557128906,gpt2
27a4,0.9932244916756948,0.9926936166981856,0.0005308749775092547,0.5264756944444444,0.9927997589111328,2.3064072132110596,gpt2
20d9,0.9923825884858767,0.992134232694904,0.00024835579097270966,0.5277777777777778,0.9921839237213135,1.2620126008987427,gpt2
bf41,0.9913396189610163,0.9891620681931576,0.002177550767858749,0.5946180555555556,0.9895975589752197,1.1183323860168457,gpt2
58e6,0.9939738363027573,0.9936157117287318,0.000358124574025509,0.4887152777777778,0.9936873316764832,1.5570340156555176,gpt2
cb63,0.9882832144697508,0.9902266891052326,-0.0019434746354818344,0.4118923611111111,0.9898379445075989,1.0885229110717773,gpt2
cadf,0.9909820184111595,0.9870066655178865,0.003975352893272999,0.6328124999999999,0.987801730632782,1.0817550420761108,gpt2
5edc,0.9937307437260946,0.9926760451247295,0.0010546986013650894,0.5828993055555555,0.9928869605064392,1.048264980316162,gpt2
6586,0.9927863453825315,0.9924253753075997,0.0003609700749318545,0.53125,0.9924975633621216,1.5132602453231812,gpt2
64a1,0.9914328654607137,0.9923734987775484,-0.0009406333168346936,0.49175347222222215,0.9921853542327881,1.1032449007034302,gpt2
64a9,0.9939262444774309,0.9937209269652764,0.00020531751215457916,0.5160590277777778,0.9937619566917419,1.1972270011901855,gpt2
d430,0.9914601842562357,0.9918069423486789,-0.0003467580924432223,0.47265624999999994,0.9917375445365906,1.2422006130218506,gpt2
bfae,0.9883094653487206,0.9880037220815817,0.00030574326713883604,0.5286458333333334,0.9880648851394653,1.187249779701233,gpt2
f2e5,0.9922518009940783,0.9918051455169916,0.000446655477086666,0.5421006944444444,0.9918944835662842,1.3017606735229492,gpt2
7db9,0.995858391125997,0.9951255811999241,0.0007328099260728305,0.5989583333333334,0.9952720999717712,1.77349054813385,gpt2
047f,0.9904358237981796,0.9899628690133492,0.0004729547848304483,0.5073784722222221,0.9900573492050171,1.0975608825683594,gpt2
97b9,0.9897041916847229,0.9903690790136656,-0.0006648873289426538,0.4743923611111111,0.9902360439300537,1.2157446146011353,gpt2
350e,0.9918602953354517,0.9919407647103071,-8.04693748553964e-05,0.5234375,0.9919246435165405,1.231988787651062,gpt2
2a23,0.9919201458493868,0.9910640449573597,0.0008561008920271451,0.5260416666666667,0.9912351965904236,1.32033109664917,gpt2
